,competence,tube,skill_id,level,challenge_id,instruction,delta,alpha,type,timer,hasEmbedUrl,pedagogy,format
18,3.4,@écrireAlgo,recGenmOM7yaENRPa,2,rec1ZDlgFmAgSSZQR,"Écrivez le programme pour que le robot aspirateur ramasse toutes les poussières.

Utilisez seulement 2 blocs.",-1.9425227642059328,0.921764612197876,QROC,,True,e-preuve,mots
19,3.2,@retouchImage,rec1TixM2iRIyBJAU,4,rec18sSVW86EnbMk2,"Dans la présentation à télécharger, déplacez l'image dans le cadre sans en modifier la taille.

Redressez l'image pour que le **niveau de la mer** soit **à l'horizontale**.

Faites correspondre : 
* la ligne avec le niveau de la mer ;
* le point avec le sommet de la grande voile.

Combien d'oiseaux sont dans le cadre ?",1.1158397197723389,1.6761974096298218,QROC,,False,e-preuve,nombre
20,3.1,@texteRobuste,recjKYskm2X77c9FT,3,recCz9vdSQVHLz2hU,"Dans le document à télécharger, Léa a utilisé 2 méthodes différentes pour centrer le nom des continents.

Lesquels sont centrés correctement ?",0.9618469476699828,1.3277031183242798,QCM,,False,e-preuve,mots
21,5.2,@environnementTravail,recxtb5aLs6OAAKIg,2,reczdJgbOnwvDhu8r,"Affichez les propriétés du fichier que vous voyez sur l’écran ci-dessous.

Qui est l’auteur du fichier ?",0.0430901460349559,1.128401517868042,QROC,,True,e-preuve,petit
22,3.3,@miseEnPageTxt,recjaPxapJkF1cx5k,2,recb1drFSsoWxRdBd,"Faites défiler le document ci-dessous.

Combien y a-t-il de pages en orientation **paysage** ?",-0.6404734253883362,1.1248681545257568,QROC,,True,e-preuve,nombre
23,2.1,@répondreMail,recUDrhjEYqmfahRX,1,recXuMDWCCwFTLI1Z,"Vous avez reçu un **mail** de Selma dans l’application ci-dessous.
 
Ouvrez-le.

Quel est le lieu du concert ?",-1.900236964225769,1.6994075775146484,QROC,,True,e-preuve,petit
24,2.4,@choixIdentifiant,skill20Pti6Ve24LBgC,2,challenge12KpyCgUVKxlGz,"Martin Loubet veut répondre à une offre d’emploi par courrier électronique. 

Quelle adresse lui conseillez-vous d’utiliser ?",-2.334882497787476,1.0175498723983765,QCU,,False,q-situation,mots
25,3.3,@métadonnéesDoc,recculI6E4fukySah,4,rec2h0Yt8Wou6jIU3,"On soupçonne Fanny de ne pas avoir créé elle-même ce document mais de l'avoir récupéré.

Comment se prénomme la personne qui a créé le document initialement ?",1.7136613130569458,1.934218168258667,QROC,,False,e-preuve,mots
26,3.3,@accessibilité,recAjTsOTJpq3OeNR,4,recV6Ok92nxiJTPqG,"Une personne non-voyante utilise un logiciel qui lit les textes et décrit les images.

Sans utiliser de logiciel spécifique, trouvez, dans le document, comment s’appelle le chien de la photo.",2.3042359352111816,1.8540679216384888,QROC,,False,e-preuve,mots
27,3.3,@enTetePdpage,recIlvv5YSH02DfaP,1,recJYCy66rluV6DOB,"Voici la 1ère page d'un long document.

Combien de pages contient-il en tout ?",-1.6515687704086304,1.085212230682373,QROC,,True,e-preuve,nombre
28,2.4,@enjeuxGAFAM,recBd7hji2Ev2MOoF,2,recwzbPMeCgEMzS1Y,"Le marché du numérique est dominé par cinq grandes entreprises américaines particulièrement puissantes.

On les appelle souvent « GAFAM ».

À quelle entreprise correspond la lettre **A** ?",-0.2732112109661102,1.5210295915603638,QROC,,False,q-savoir,mots
29,3.3,@paramImpression,recBeo3fIb35FXtmF,2,recRLxK8FCX606QlG,"Cliquez sur [ce lien](https://epreuves.pix.fr/impression.html#d38bd547545e57145c5657414257).

Suivez les instructions pour découvrir le mot caché.",-0.9233220219612122,1.3809242248535156,QROC,,False,e-preuve,mots
30,2.4,@enjeuxGAFAM,recAYxA5gWod1vtgi,3,rec1R3VENcH375EeL,"À quel GAFAM ces réseaux sociaux appartiennent-ils ?
",0.1097156777977943,1.200597643852234,QROCM-ind,,False,q-savoir,petit
31,5.1,@récupérerMotDePasse,skill1qgPJEIEEso64W,3,challenge1NK4wQcvUbJVe9,"Alex, dont la mère est née à Pau, s'est créé un compte de messagerie alex@pxmail.fr.

Il a oublié le mot de passe qu’il a choisi.

Aidez-le à le retrouver.
",-0.9113515019416808,1.4596226215362549,QROC,,True,e-preuve,mots
32,4.2,@accesDonnées,skill1XYyr7gZO4VdHG,2,challenge2raBiSS65KWaOY,"Carl a installé l'application **SNCF Connect** sur son smartphone en lui donnant les autorisations d'accès suivantes.

Que peut faire l’application avec les autorisations choisies ?",-1.6904386281967163,1.4024535417556765,QCM,,False,q-situation,mots
33,4.1,@phishing,skill2fwUxLtl3gIPLb,3,challenge1M1FOyKprjTCv4,"Émilie a reçu le courrier électronique (mail) ci-dessous et pense qu’il s’agit d’une arnaque.

Quels indices lui font penser cela ?",0.0924941971898078,0.543980598449707,QCM,,False,q-situation,mots
34,4.1,@installogiciel,skill2J10PC9aA2xaXy,4,challenge107G8qLjbYqYH9,"Évariste souhaite télécharger le logiciel **Inkscape** depuis le site de son éditeur. 

Sélectionnez le résultat de recherche sur lequel il doit cliquer.",1.258231520652771,1.1507961750030518,QROC,,True,q-situation,mots
35,4.1,@chiffrement,skillYxc9Wqkfzrrad,4,challenge1Dk5w37liQTtjY,"Alice utilise une messagerie instantanée chiffrée de bout en bout automatiquement.

Quelles affirmations sont vraies quelle que soit l'application choisie par Alice ?",2.233717918395996,1.1453059911727903,QCM,,False,q-savoir,mots
36,4.3,@prevenirCyberviolences,skill1Cf6jQCjAquFMC,2,challengeLmp92Aa5LBqTn,"Noémie possède un compte sur un réseau social.

Tout le monde peut voir et commenter ses publications.

Elle veut empêcher des inconnus de le faire.

Pour cela, passez en mode **privé** son compte ci-dessous.

",-2.3259308338165283,1.54606032371521,QROC,,True,q-situation,mots
37,3.2,@manipVect,recjPEwEPLKpXlpV3,4,recrw1Ps8u6PbyjYs,"Dans la présentation à télécharger, sans modifier leur position dans la feuille :
- Passez le rectangle noir en arrière-plan.
- Passez le rectangle bleu au premier plan.
- Passez le rectangle hachuré au premier plan.

Quel mot apparaît ?",1.041009545326233,2.08327054977417,QROC,,False,e-preuve,petit
38,3.2,@couleur,rec1n7NuPgvRroJTZ,4,recVoR59UMDhmNBH,"Copiez l'image dans un logiciel d'édition d'images ou un outil en ligne comme [JS Paint](https://jspaint.app/) ou [Pixlr E](https://pixlr.com/fr/e/).

**Remplissez les cases** en suivant le code couleur. 

Des cases supplémentaires vont se remplir automatiquement.

Que représente le dessin ?",1.491412878036499,1.5247745513916016,QROC,,False,e-preuve,petit
39,4.2,@cgu,rec6fiTjaetC7FU1b,2,rec4sND9XvSE1HcXQ,"Voici [le lien vers une simulation de réseau social](https://epreuves.pix.fr/cgu.html#0501050501030150).


Vous trouverez la réponse lors de votre inscription.",-0.7750821709632874,1.292568325996399,QROC,,False,e-preuve,nombre
40,2.1,@champsCourriel,skill1UTtoh8IfZzhC2,4,challenge2XsQFbcazvWChH,"Vous êtes un policier infiltré dans la mafia dirigée par Al Capone.

Dans la messagerie ci-dessous, **envoyez le courrier électronique** suivant à Al Capone (alcapone@pixmail.org) en mettant **secrètement** en copie votre collègue policière Tatiana (tatiana@pixmail.org) :

> Objet : Opération Commando
> 
> Lancement des opérations à 20h. Qui viendra avec toi ?

Que répond Al Capone ?",0.50910884141922,2.2443552017211914,QROC,,True,e-preuve,mots
41,3.1,@navigationDiaporama,recrvUNClwcdQSrne,3,recPPYZnKERyDjNpm,Ouvrez la présentation à télécharger et répondez aux questions.,-0.4773226082324981,1.244526743888855,QROCM-ind,,False,e-preuve,petit
42,1.1,@url,rec6QF6wqqkQn9dN3,3,recFg1U1EQ3CI2cbc,"Consultez la page à l’adresse https://epreuves.pix.fr/secret/mystere.html

Quel prénom s’affiche sur cette page ?",-0.8988257646560669,1.4004932641983032,QROC,,False,,petit
43,3.1,@miseEnFormeTttTxt,recKjdLuENEtJLx0f,3,recgCn78yjG8VSZxX,"Le document à télécharger contient une liste de villes.

- Donnez un interligne double (2,0) à tout le texte de ce document.

Quelle est la **première ville** de la **dernière page** ?",1.5886178016662598,1.5516279935836792,QROC,,False,e-preuve,mots
44,1.3,@graphique,recq0zycCWagydwKN,5,recZUexrRTB94MIcy,"Ryan veut visualiser la répartition des ventes de sa librairie pour trois de ses vendeurs : **André**, **Berthe** et **Céline**.

Le mois dernier, il avait le diagramme ci-dessous.

Réalisez le diagramme de ce mois-ci avec les données à télécharger.

Quelle lettre voyez-vous ?
",1.6396141052246094,1.6222562789916992,QROC,,False,e-preuve,mots
45,5.1,@récupérerMotDePasse,skill1qgPJEIEEso64W,3,challenge2ISt7T70dwGTRR,"Alex, dont la mère est née à Pau, s'est créé un compte de messagerie alex@pxmail.fr.

Il a oublié le mot de passe qu’il a choisi.

Aidez-le à le retrouver.
",-0.9142422676086426,1.4439133405685425,QROC,,True,e-preuve,mots
46,1.3,@tri,recPiCGFhfgervqr5,4,recxSMdFVtJWdRMzy,"Le fichier contient un tableau affichant la taille des populations des 419 communes de l’Ain. 

Triez le tableau pour que les villes les plus peuplées soient en haut. 

Quel mot est formé par les 9 premières lettres de la colonne Indice ?",0.833635151386261,1.626670479774475,QROC,,False,e-preuve,mots
47,1.3,@remplir,rec0qamfwEkhED8IZ,4,reckUoppfZoM1SS8w,"Ninon a réalisé un tableau des  visites de la semaine dans sa boutique. 

Modifiez ce tableau pour tenir compte des changements suivants :
- elle va ouvrir le mercredi et suppose que les visites seront comme le samedi (insérez la colonne  nécessaire et donnez-lui le bon titre),
- elle veut fermer la boutique tous les jours  entre 12 et 14 heures (supprimez les lignes correspondantes).

Quel  mot secret apparait en **B12** ?",1.541544795036316,1.8251692056655884,QROC,,False,e-preuve,mots
48,4.2,@cnil,skill1EGsSZYEnxTYjN,3,challenge2OSjCc79Z8vRwk,Quel texte réglementaire protège les données personnelles des citoyens de l’Union européenne ?,1.13517963886261,0.8915712237358093,QROC,,False,q-savoir,phrase
49,2.1,@champsCourriel,skill1UTtoh8IfZzhC2,4,challenge1lNfX09ApMEQ5h,"Vous êtes un policier infiltré dans la mafia dirigée par Al Capone.

Dans la messagerie ci-dessous, **envoyez le courrier électronique** suivant à Al Capone (alcapone@pixmail.org) en mettant **secrètement** en copie votre collègue policière Tatiana (tatiana@pixmail.org) :

> Objet : Opération Commando
> 
> Lancement des opérations à 20h. Qui viendra avec toi ?

Que répond Al Capone ?",0.4975939989089966,2.256433725357056,QROC,,True,e-preuve,mots
50,2.3,@partageDroits,skill1HIKLhnoyXB75Z,2,challengeLcu5EfIZpqaqE,"Perrine accède au document en ligne affiché ci-dessous.

Que peut-elle faire avec ce document ? 
",-0.579797089099884,0.8153460025787354,QCU,,False,q-situation,mots
51,3.1,@outilsStdTexte,recGfKF6LAmg21bOr,3,rectLNRvbQ9isz83A,"Dans le texte à télécharger, quel est le mot placé juste **après** le mot **semperium** ?",0.7808164954185486,1.7506474256515503,QROC,,False,e-preuve,mots
52,3.1,@navigationDiaporama,rec5B4raGf9qZmd40,4,rec1jOlcfKpoIxrn7,"Ouvrez la présentation à télécharger et suivez les instructions dans l'ordre :

- Dupliquer la diapositive 2,

- Déplacer la diapositive 6 au début du diaporama,

- Supprimer en même temps les diapositives 3, 4 et 5.

Reportez les lettres restantes dans l'ordre de présentation.",1.0363560914993286,1.4929442405700684,QROC,,False,e-preuve,mots
53,2.4,@télécharger,rec9uQTL8ZFm1rSTY,2,recHmF7v2A4BSlzFf,"- Rendez-vous sur [cette page](https://www.santepubliquefrance.fr/a-propos/rapports-annuels/rapport-annuel-2023) du site santepubliquefrance.fr.
- Téléchargez le rapport annuel 2023.
- Dans le sommaire de ce rapport, cherchez la question « Question n°1 : Comment nos enfants se sentent-ils ? » .
- Quel numéro de page est associé à cette question ?",0.124249555170536,1.474268674850464,QROC,,False,e-preuve,nombre
54,2.4,@IAgénéralités,skill2cMmCKXm8ZBC8r,5,challenge1V8kl4Ao73Yk1S,"Ignacio est chercheur en intelligence artificielle.

Il veut publier sur un réseau social un message à propos des caractéristiques de ChatGPT et de Midjourney.

Complétez son message avec les termes qui conviennent.",3.151754856109619,0.7097195982933044,QROCM-ind,,False,q-savoir,mots
55,4.2,@cgu,recoYZVHyV9JBi7wV,6,reczqnfAW48Z8JTGL,"Facebook peut être rémunéré (sans vous dédommager) en permettant à une marque (que vous aimez) d’utiliser votre nom et votre photo de profil à des fins commerciales.

Dans quelle section de ses **Conditions de service**, Facebook vous informe de cette clause ?",3.0783345699310303,0.6162649393081665,QROCM-ind,,False,e-preuve,mots
56,2.4,@apprendreEnLigne,rec1iQJ8tNv1ctaBY,5,rec2FQyEUzoc36Bri,"Sally a obtenu une certification après avoir suivi le cours en ligne ""Programmation objet : premiers pas en java"" proposé par le Cnam.

Trouvez la plateforme sur laquelle les contenus des cours étaient disponibles.

Que peut-on dire ?",3.776866912841797,1.1292988061904907,QCM,,False,e-preuve,mots
57,1.2,@recherche,reclbhuUTRGc1jZRL,5,recQ7ju4P6QfGkyI8,"Téléchargez cette archive (dossier compressé).

En extraire tous les fichiers dans un dossier local.

Quel fichier contient l’expression **trouverpix** ?",2.108348608016968,1.7734460830688477,QROC,180.0,False,e-preuve,mots
58,1.3,@tri,recPiCGFhfgervqr5,4,rec31i8a7gNo7UHdY,"Le fichier contient un tableau affichant la taille des populations des 419 communes de l’Ain. 

Triez le tableau pour que les villes les plus peuplées soient en haut. 

Quel mot est formé par les 9 premières lettres de la colonne Indice ?",0.8736703991889954,1.6122922897338867,QROC,,False,e-preuve,mots
59,4.3,@ondes,recZNEhKdBKJm0gA4,6,rec5mk22k0bJGGuFu,"Voici le descriptif d’un smartphone.

Quelle rubrique indique le niveau d’exposition de l’utilisateur aux ondes électromagnétiques ?

Quelle est sa valeur ?

Quelle valeur ne doit-elle pas dépasser d’après la réglementation française ?",0.7942909002304077,0.8935848474502563,QROCM-ind,,False,q-situation,mots
60,3.2,@propVideoSon,reca7XPZkf2azEW2q,2,rec8VPArOm2jx4g6n,"Dans  [cette vidéo](https://epreuves.pix.fr/videos/mots.mp4), quel mot est affiché à la 13e seconde ?",-2.2054193019866943,1.287779688835144,QROC,,False,e-preuve,mots
61,2.2,@PartageEnLigne,rec2Q6GnAza95QpWM,4,recOzNxThqBEIlIEU,"Martine a partagé avec vous le [dossier Recueil](https://mypads.framapad.org/mypads/?/mypads/group/pix-73d4470w/view).

Il contient le fichier **Les fleurs**.

Retrouvez le lien de partage de ce fichier. ",0.1675153821706771,1.150564193725586,QROC,,False,e-preuve,phrase
62,4.1,@securiteWeb,skill2A1JpfB6MGA0vU,4,challenge2rm1S8FwtiPTsk,"Chaïma s'est connectée sur son site préféré de partage d'images et obtient l'affichage ci-dessous.

Complétez le texte.",2.000097751617432,1.6496131420135498,QROCM-ind,,False,q-situation,petit
63,1.3,@remplir,recIkcTpbNZy9YetV,2,recYq1w2Ijz4GZIU,"Dans le tableau ci-dessous, complétez le tableau avec les informations suivantes :
- Suzie a reçu 18 votes
- Khadija a reçu 24 votes.",-2.54512619972229,1.2672271728515625,QROC,,True,e-preuve,mots
64,2.1,@adresseElect,skill1URlHj19et6n9C,2,challenge23zDMAKEC7n91x,"Adrian a créé une adresse mail fournie par Outlook.

Reconstituez son adresse en utilisant **outlook.com**, **adrian985** et **@**.",-1.2148187160491943,1.3448747396469116,QROCM-ind,,False,q-situation,mots
65,4.1,@chiffrement,skill1iWGz1jWEWIByr,5,challenge1BKeGnF4kVLI2i,"Parmi les propositions, lesquelles sont des usages possibles de la **cryptographie** ? ",1.6983057260513306,1.0435655117034912,QCM,,False,q-savoir,mots
66,4.1,@choixmotdepasse,recF9oTiR8fMSnQoo,3,recdrBmlPe5PwBd5a,"Julia s'est fait pirater son compte sur un réseau social.

Son mot de passe de 8 caractères était facile à deviner à partir des informations que tout le monde peut consulter en ligne sur son profil public.

Vous devez trouver **son mot de passe** pour découvrir qui veut devenir l'ami de Julia.

Voici sa page de profil public et [le lien pour accéder au réseau social](https://epreuves.pix.fr/perso3.html#020109520109010705010509).",0.0045032016932964,1.275928020477295,QROC,,False,e-preuve,mots
67,4.1,@ingénierieSociale,rec2IN8ffbzrOq1We,4,rec1zei6e4vQmyeeJ,"Marine voit apparaître cette fenêtre sur son écran.

Selon le site [cybermalveillance.gouv.fr](https://www.cybermalveillance.gouv.fr/cybermenaces), comment s’appelle cette forme d’escroquerie ?",2.140637159347534,1.3777942657470703,QROC,,False,q-situation,phrase
68,4.1,@securiserAcces,skill2sRAwskcMZwh5A,2,challenge1GqWE4LrXIo2xW,"Mia souhaite bloquer l’accès au contenu de son smartphone à toute personne qui l’aurait en main. 

Sélectionnez un des paramètres qu’elle peut utiliser.",-2.2888662815093994,1.008949875831604,QROC,,True,q-situation,mots
69,3.2,@propImageMat,recE7po5liUwYj7Qf,4,rec3ryzCWb1sbYkMc,Quelle est la définition de l’image (en pixels) ?,1.1409907341003418,1.5143877267837524,QROCM-ind,,False,e-preuve,petit
70,1.3,@form_intero,skillOhcywYp6ESjn4,7,challenge1hIPiPmi9Q9VSc,"Le fichier à télécharger présente les données de prélèvements des herbacées dans un pollinarium.

Pour chaque prélèvement sont mémorisées plusieurs informations, comme l’espèce de l’herbacée, les coordonnées GPS du prélèvement, etc.

Il y a une erreur de syntaxe dans l’un des enregistrements. Retrouvez l’identifiant de cet enregistrement.",3.272470474243164,1.7573890686035156,QROCM-ind,,False,e-preuve,phrase
71,5.1,@ouvertureFichiers,skill2udAI4Mfzu0eQU,6,challenge212Av4QeTECTPS,"Le fichier à télécharger contient un mot caché. 

* Quel est le format du fichier ?
* Quel est le mot caché ?",2.716782569885254,1.9937386512756348,QROCM-ind,,False,e-preuve,mots
72,5.1,@récupérerMotDePasse,skill1qgPJEIEEso64W,3,challenge1QPOmomAM7BP4m,"Alex, dont la mère est née à Pau, s'est créé un compte de messagerie alex@pxmail.fr.

Il a oublié le mot de passe qu’il a choisi.

Aidez-le à le retrouver.
",-0.9136092066764832,1.4491078853607178,QROC,,True,e-preuve,mots
73,1.2,@fichier,skill1PgBKnEwg8zDh7,5,challenge2LVrvn6SVkPK2e,"La **désignation exacte d’un fichier** permet de le localiser précisément dans un système informatique. Elle est composée du chemin d’accès, du nom et de l’extension du fichier.

Quelle est la **désignation exacte** du fichier sélectionné dans l’illustration ci-dessous ?",2.22964096069336,1.897860407829285,QROCM-ind,,False,q-situation,petit
74,3.2,@retouchImage,rec1TixM2iRIyBJAU,4,rec2h0m6SkJsBnPtz,"Dans la présentation à télécharger, déplacez l'image dans le cadre sans en modifier la taille.

Redressez l'image pour que le **niveau de la mer** soit **à l'horizontale**.

Faites correspondre : 
* la ligne avec le niveau de la mer ;
* le point avec le sommet de la grande voile.

Combien d'oiseaux sont dans le cadre ?",1.1224318742752075,1.7305196523666382,QROC,,False,e-preuve,nombre
75,5.1,@récupérerMotDePasse,skillYeMMSyCfcRPs5,1,challenge26tGPDwZp64h6z,"Evelyne souhaite se connecter sur TikTok, mais elle a oublié son mot de passe.

Que peut-on lui recommander ?",-1.90280556678772,1.2999072074890137,QCU,,False,q-situation,mots
76,3.2,@propImageMat,recE7po5liUwYj7Qf,4,recKf9r3h2uMsZvrp,Quelle est la définition de l’image (en pixels) ?,1.166169047355652,1.5934648513793943,QROCM-ind,,False,e-preuve,petit
77,5.1,@problèmeImprimante,skill250iWPJVSxhSsX,4,challenge2vzyvhbAkboFfD,"L’imprimante a envoyé un message d’erreur car les cartouches d’encre couleur sont vides.

Quel paramètre Karim peut-il modifier pour tenter de l’imprimer quand même ?",-0.6958800554275513,0.6767418384552002,QCU,,False,q-situation,mots
78,3.2,@couleur,rec1uyH1VBlVsVqm3,1,rec1z4ILC7fNpeHdz,"Dans l’application de dessin ci-dessous, remplissez le cœur avec la couleur de votre choix.

Quel mot apparaît ?",-2.6124415397644043,1.481558084487915,QROC,,True,e-preuve,petit
79,5.1,@ouvertureFichiers,skillPLK2F4qldPAmP,5,challenge1SbRJZipLMSd1a,"   Le fichier à télécharger est dans un format peu courant.

   Trouvez le moyen de l’ouvrir.

   Quel mot s’affiche ?",2.1353232860565186,2.1158652305603027,QROC,,False,e-preuve,mots
80,1.1,@publi,recnLN4ZCdZdTC32I,5,challenge1xQ6x6n9C8SV6w,Qui a modifié  [cette page Wikipédia](https://fr.wikipedia.org/wiki/Soudan_du_Sud) le 1er août 2017 ?,1.031757950782776,1.7895166873931885,QROC,,False,e-preuve,mots
81,3.3,@paramImpression,skill2cnVbvafOinVek,5,challenge2xcBOTWCaPQjT4,Combien de pages seront imprimées ?,0.6114252805709839,0.3271052539348602,QROC,,False,q-situation,nombre
82,3.1,@structureHiérarchique,rec6Q34O6fdm4Q9q7,5,recME4lkgAD1RK3WV,"Dans la table des matières du document à télécharger, le chapitre 6 et ses 2 sections n'apparaissent pas.

Trouvez l'erreur dans la structure du document et corrigez-la.

Mettez à jour la table des matières.

Quel est le mot formé par les lettres en majuscules de la table des matières après sa mise à jour ?",2.0079963207244877,1.8092930316925049,QROC,,False,e-preuve,mots
83,3.3,@réutilImage,recLE6wxreDeHijP5,4,challenge2XqZrpAQTvNSgs,"Marius veut illustrer son exposé avec la photo de [cette page](https://fr.wikipedia.org/w/index.php?title=Bloqueur_(navigation%29&oldid=158214520).

Le texte de la page est sous licence « Creative Commons attribution, partage dans les mêmes conditions 4.0 », mais la photo a une autre licence.

Trouvez la **licence de cette photo** pour savoir comment Marius peut la réutiliser.

Quel est le nom complet de la licence et son numéro de version ?",1.7070187330245972,1.6740623712539673,QROC,,False,e-preuve,phrase
84,3.3,@métadonnéesDoc,recWdclDku4jfct6s,5,recDixZw5WILSxRyJ,"Julien affirme avoir rédigé seul ce document, mais il a laissé quelques traces qui prouvent qu'une autre personne y a contribué. 

Quel est son prénom ?",1.7111996412277222,1.5091040134429932,QROC,,False,e-preuve,mots
85,1.2,@methodo,skill2loXVlzSgTtqev,7,challenge2ih3hUNR8dkvsI,"Différentes méthodes de sauvegarde existent pour être en mesure de restaurer entièrement ou partiellement un système informatique après un incident.

* Associez chacune des caractéristiques ci-dessous à la méthode de sauvegarde qui lui correspond : **complète**, **différentielle** ou **incrémentale**.
* Si on a effectué 4 sauvegardes, combien seront utilisées pour restaurer tous les fichiers avec chacune de ces méthodes ?
",4.0051374435424805,1.2685035467147827,QROCM-ind,,False,q-savoir,petit
